1769547304.605981,3,alice-bob,TUNNEL_ESTABLISH,123.7936,200,success
1769547304.606156,3,alice-bob,E2E_REKEY_LATENCY,2334.8017,200,success
1769547305.765752,3,carol-dave,PUSH_KEY,158.3567,200,target=carol
1769547305.932764,3,carol-dave,PUSH_KEY,166.8577,200,target=dave
1769547308.128719,3,carol-dave,TUNNEL_ESTABLISH,118.9206,200,success
1769547308.128856,3,carol-dave,E2E_REKEY_LATENCY,2521.3256,200,success
1769547319.721861,4,alice-bob,KEY_AVAILABILITY,1.0000,200,qkd_fetch_ms=579.91
1769547319.722118,4,alice-bob,QKD_FETCH,579.9131,200,success
1769547319.722445,4,alice-bob,PQC_GEN,0.1924,200,ML-KEM-768
1769547319.722603,4,alice-bob,HKDF_MIX,0.0854,200,hybrid_qkd_pqc
1769547319.722674,4,alice-bob,HYBRIDIZATION_OVERHEAD,580.1909,200,qkd=579.91|pqc=0.19|hkdf=0.09|mode=hybrid_qkd_pqc
1769547319.990170,4,carol-dave,KEY_AVAILABILITY,1.0000,200,qkd_fetch_ms=847.29
1769547319.990496,4,carol-dave,QKD_FETCH,847.2948,200,success
1769547319.990724,4,carol-dave,PQC_GEN,0.1218,200,ML-KEM-768
1769547319.990886,4,carol-dave,HKDF_MIX,0.0901,200,hybrid_qkd_pqc
1769547319.990973,4,carol-dave,HYBRIDIZATION_OVERHEAD,847.5068,200,qkd=847.29|pqc=0.12|hkdf=0.09|mode=hybrid_qkd_pqc
1769547320.143389,4,alice-bob,PUSH_KEY,152.1344,200,target=alice
1769547320.309794,4,alice-bob,PUSH_KEY,166.2800,200,target=bob
1769547322.520401,4,alice-bob,TUNNEL_ESTABLISH,130.7812,200,success
1769547322.520514,4,alice-bob,E2E_REKEY_LATENCY,2529.1471,200,success
1769547323.689911,4,carol-dave,PUSH_KEY,168.1943,200,target=carol
1769547323.841890,4,carol-dave,PUSH_KEY,151.8517,200,target=dave
1769547326.045439,4,carol-dave,TUNNEL_ESTABLISH,125.5744,200,success
1769547326.045581,4,carol-dave,E2E_REKEY_LATENCY,2523.7236,200,success
1769547337.631560,5,alice-bob,KEY_AVAILABILITY,1.0000,200,qkd_fetch_ms=572.76
1769547337.631797,5,alice-bob,QKD_FETCH,572.7556,200,success
1769547337.632048,5,alice-bob,PQC_GEN,0.1245,200,ML-KEM-768
1769547337.632201,5,alice-bob,HKDF_MIX,0.0861,200,hybrid_qkd_pqc
1769547337.632272,5,alice-bob,HYBRIDIZATION_OVERHEAD,572.9661,200,qkd=572.76|pqc=0.12|hkdf=0.09|mode=hybrid_qkd_pqc
1769547337.951011,5,carol-dave,KEY_AVAILABILITY,1.0000,200,qkd_fetch_ms=891.39
1769547337.951238,5,carol-dave,QKD_FETCH,891.3851,200,success
1769547337.951482,5,carol-dave,PQC_GEN,0.1185,200,ML-KEM-768
1769547337.951632,5,carol-dave,HKDF_MIX,0.0844,200,hybrid_qkd_pqc
1769547337.951679,5,carol-dave,HYBRIDIZATION_OVERHEAD,891.5880,200,qkd=891.39|pqc=0.12|hkdf=0.08|mode=hybrid_qkd_pqc
1769547338.116562,5,alice-bob,PUSH_KEY,164.6452,200,target=alice
1769547338.284431,5,alice-bob,PUSH_KEY,167.7270,200,target=bob
1769547340.497476,5,alice-bob,TUNNEL_ESTABLISH,135.2582,200,success
1769547340.497618,5,alice-bob,E2E_REKEY_LATENCY,2545.5601,200,success
1769547341.644039,5,carol-dave,PUSH_KEY,145.1702,200,target=carol
1769547341.802949,5,carol-dave,PUSH_KEY,158.7787,200,target=dave
1769547344.006491,5,carol-dave,TUNNEL_ESTABLISH,126.6418,200,success
1769547344.006635,5,carol-dave,E2E_REKEY_LATENCY,2507.6232,200,success
1769547365.275702,6,carol-dave,KEY_AVAILABILITY,0.0000,0,qkd_fetch_ms=10256.20
1769547365.275996,6,carol-dave,QKD_FETCH,10256.1972,0,"failed:HTTPSConnectionPool(host='kme-3.acct-2992.etsi-qkd-api.qukaydee.com', port=443): Read timed out. (read timeout=10)"
