timestamp,container,cpu_perc,mem_mib
1769547336.6791122,carol,0.31,27.2
1769547336.6791122,dave,1.12,26.52
1769547336.6791122,orchestrator,1.40,17.24
1769547339.763072,alice,1.66,28.18
1769547339.763072,bob,0.92,26.73
1769547339.763072,carol,1.86,27.07
1769547339.763072,dave,2.13,26.48
1769547339.763072,orchestrator,1.89,17.18
1769547342.8492718,alice,0.20,27.26
1769547342.8492718,bob,1.09,26.43
1769547342.8492718,carol,1.36,27.55
1769547342.8492718,dave,1.30,26.52
1769547342.8492718,orchestrator,0.19,17.18
1769547345.938043,alice,0.28,27.49
1769547345.938043,bob,0.92,26.53
1769547345.938043,carol,0.16,27.3
1769547345.938043,dave,0.75,26.36
1769547345.938043,orchestrator,0.00,17.17
1769547349.0222495,alice,0.19,27.2
1769547349.0222495,bob,0.94,26.66
1769547349.0222495,carol,0.14,27.12
1769547349.0222495,dave,0.97,26.52
1769547349.0222495,orchestrator,0.00,17.17
1769547352.1108632,alice,0.33,27.24
1769547352.1108632,bob,1.10,26.58
1769547352.1108632,carol,0.45,27.12
1769547352.1108632,dave,1.25,26.41
1769547352.1108632,orchestrator,0.00,17.17
1769547355.201701,alice,0.23,27.55
1769547355.201701,bob,1.10,26.58
1769547355.201701,carol,0.21,27.32
1769547355.201701,dave,0.84,26.27
1769547355.201701,orchestrator,0.57,17.69
1769547358.2898312,alice,0.20,27.49
1769547358.2898312,bob,1.27,26.33
1769547358.2898312,carol,0.31,27.33
1769547358.2898312,dave,1.11,26.63
1769547358.2898312,orchestrator,0.00,17.24
1769547361.373908,alice,0.19,27.54
1769547361.373908,bob,0.88,26.79
1769547361.373908,carol,0.11,27.19
1769547361.373908,dave,0.67,26.52
1769547361.373908,orchestrator,0.00,17.24
1769547364.4619014,alice,1.51,28.29
1769547364.4619014,bob,1.57,27.18
1769547364.4619014,carol,0.17,27.22
1769547364.4619014,dave,0.96,26.53
1769547364.4619014,orchestrator,1.00,17.18
1769547367.546478,alice,0.15,27.6
1769547367.546478,bob,1.12,26.61
1769547367.546478,carol,0.30,27.59
1769547367.546478,dave,2.64,26.55
1769547367.546478,orchestrator,2.14,17.19
1769547370.6312814,alice,0.15,27.82
1769547370.6312814,bob,0.73,26.49
1769547370.6312814,carol,0.23,27.74
1769547370.6312814,dave,0.87,26.57
1769547370.6312814,orchestrator,0.47,17.19
1769547373.71418,alice,0.14,27.54
1769547373.71418,bob,0.76,26.38
1769547373.71418,carol,0.15,27.59
1769547373.71418,dave,0.80,26.63
1769547373.71418,orchestrator,0.00,17.19
1769547376.7945092,alice,0.24,27.55
1769547376.7945092,bob,1.04,26.72
1769547376.7945092,carol,0.23,27.84
1769547376.7945092,dave,1.12,26.36
1769547376.7945092,orchestrator,0.00,17.19
1769547379.874784,alice,0.21,27.56
1769547379.874784,bob,1.23,26.38
1769547379.874784,carol,0.18,27.84
1769547379.874784,dave,1.20,26.83
1769547379.874784,orchestrator,0.00,17.18
1769547382.9579086,alice,0.36,27.45
1769547382.9579086,bob,0.68,26.62
1769547382.9579086,carol,0.27,27.65
1769547382.9579086,dave,0.94,26.44
1769547382.9579086,orchestrator,0.00,17.27
1769547386.0412586,alice,0.19,27.45
1769547386.0412586,bob,1.13,26.62
1769547386.0412586,carol,0.19,27.84
1769547386.0412586,dave,0.63,26.32
1769547386.0412586,orchestrator,0.00,17.27
1769547389.1204517,alice,0.16,27.65
1769547389.1204517,bob,1.09,26.39
1769547389.1204517,carol,0.19,27.54
1769547389.1204517,dave,1.02,26.34
1769547389.1204517,orchestrator,0.00,17.27
1769547392.2011864,alice,0.31,27.46
1769547392.2011864,bob,1.13,26.39
1769547392.2011864,carol,0.40,27.73
1769547392.2011864,dave,1.26,26.6
1769547392.2011864,orchestrator,2.38,17.21
1769547395.2853355,alice,0.23,27.62
1769547395.2853355,bob,1.21,26.43
1769547395.2853355,carol,0.86,28.45
1769547395.2853355,dave,2.04,26.35
1769547395.2853355,orchestrator,1.02,17.22
1769547398.3668387,alice,0.17,27.81
1769547398.3668387,bob,0.98,26.42
1769547398.3668387,carol,0.17,28.02
1769547398.3668387,dave,0.70,26.57
1769547398.3668387,orchestrator,0.50,17.22
1769547401.4486022,alice,0.24,27.68
1769547401.4486022,bob,1.26,26.68
1769547401.4486022,carol,0.20,27.83
1769547401.4486022,dave,1.13,26.62
1769547401.4486022,orchestrator,0.00,17.22
